band_num,date_resighted,location,observer,status,comments,Other notes: there are sometimes handwritten notes such as the one in this binder before page 49
1337-44700,1984-06-20,p66,JEG,with 7 yng,NA,
1337-44700,1984-06-26,p65,JEG,with 7 yng (IIc),"""32 days after hatch""",
1337-44700,1984-07-03,p65,JTJ,brood not seen,NA,
1337-44700,1984-07-09,p65,JMS,NA,NA,
1337-44700,1984-07-11,p65,"MRM,JEG,JMS,JTJ",5 yng caught in drive trap (2 females and 3 males),"""47 days after hatch""",
1337-44700,1984-08-01,p50,JEG,loafing on mudfloat with 6 males and 10 hens or juv (all unmarked),,
1337-44700,1984-08-02,p50,JMS,with orange y-white y and blue y-orange y,,
1337-44728,1984-07-23,p1,JMS,?,NA,
1337-44733,1984-06-05,n21 NW hayfield,"MRM,JEG,JMS,JTJ",flushed from nest ,"""transmitter apparently dead- no signal radio still on bird""",
1337-44733,1984-06-11,slough partially in NW corner of area,"MRM,JMS,JTJ",?,"bird not seen- she as able to remove transmitter, transmitter recovered"" ",
1337-44733,1984-07-05,p50,"JEG,JMS",with marked female mal (yellow disc-yellow disc),NA,
1337-44733,1984-07-12,p50,JTJ,alone,NA,
1337-44733,1985-05-14,n50 (3 eggs) 15 m NW of pond 39,"JEG,JMS,BWJ",flushed from nest ,NA,
1337-44733,1985-06-11,n50 (10 eggs),JMS,trapped on nest ,"""nest apparently hatched when visited June 19"",""no young web tagged""",
1337-44733,1985-07-08,p50,EHD,alone,"""acting broody, feigning""",
1337-44733,1985-08-08,p66,"TGJ,JBI",NA,NA,
1337-44733,1985-08-08,p50,RGC,NA,"""no brood seen"", seen is underlined ",
1337-44733,1985-08-13,p66,"TGJ,EHD",NA,NA,
1337-44733,1987-10-14,p25,RGC,alone,NA,
1337-44734,1984-06-05,hayfield W of 79,"MRM,JMS,JEG,JTJ",? alone,"""flushed from hayfield""",
1337-44734,1984-06-07,"large slough 1km S, .75 km W of main grid road undersection at South end of area ","JEG,JTJ",?,"""did not see bird-picked up signal only""",
1337-44734,1984-06-11,same as above,"MRM,JMS,JTJ",?,"""bird not seen-transmitter recovered-bird removed transmitter""",
1337-44734,1984-07-26,p65,"JMS,JTJ",with 4 yng (Ib),NA,
1337-44734,1984-08-14,p25,MRM,NA,NA,
1337-44746,"1984-06-14, 0730",n25 N of #1,"JEG,JMS,JTJ",on nest ,"""hatch 14 June - 9 eggs all hatch""",
1337-44746,"1984-06-14, 1400",p125,"JEG,JMS",with at least 6 young ,NA,
1337-44746,1984-06-15,p125,"JEG,JMS",transmitter signal picked up... female not seen ... at least 5 yng (one of these was dead in drive trap),,
1337-44746,1984-06-16,p125,JTJ,at least 5 yng,NA,
1337-44746,1984-06-18,p125,JEG,8 ducklings feeding in open with female (1130) radio 10 hanging from birds neck- back loop is hanging free,NA,
1337-44746,1984-06-19,p125,JEG,8 ducklings feeding... female not visible ,NA,
1337-44746,1984-06-20,p125,JEG,8 ducklings... female not visible,NA,
1337-44746,1984-06-21,p125,"JEG,MRM",no yng visible ,NA,
1337-44746,1984-06-25,p124,"JTJ,JMS",NA,NA,
1337-44746,"1984-06-26,1015",signal from slough off area - E of 94,"MRM,JEG",not observed,NA,
1337-44746,"1984-06-26, 1915",p125,JEG,with 8 young,NA,
1337-44746,"1984-06-27, 0655",p125,JEG,no yng visible ,"""female flushed from hayfield about 20 m N of N end of slough""",
1337-44746,"1984-06-27, 2055",p125,JEG,6 yng visible ,"""female flushed from trail beside 125 and flew into slough""",
1337-44746,"1984-06-28, 0640",S end of #125,JEG,no yng visible ,NA,
1337-44746,1984-06-29,p125,JMS,NA,"""bird not seen""",
1337-44746,1984-07-03,p125,"MRM,JEG",8 young (IIa),"""female flushed by observers- at lease one foot is tangled in back loop of radio"", ""20 days after hatch""",
1337-44746,1984-07-04,p125,JMS,NA,NA,
1337-44746,1984-07-05,p125,JEG,4 yng.,NA,
1337-44746,1984-07-10,p125,"JEG,MRM",NA,"""bird flushed by observers- feet no longer caught in back harness""",
1337-44746,1984-07-12,island on pd. #1,JMS,?,"""bird not seen- no brood observed""",
1337-44746,1984-07-16,N end of pd #1,JEG,NA,"""bird not seen""",
1337-44746,1984-07-17,island on pd. #1,JMS,NA,"""bird not seen""",
1337-44746,1984-07-23,N end of pd #1,JMS,NA,NA,
1337-44746,1984-07-26,p125,JEG,alone,"""observed bird feeding- radio still hanging from neck""",
1337-44746,1984-07-31,p125,JMS,NA,NA,
1337-44746,1984-08-01,flew from #1 to #125,JEG,NA,NA,
1337-44746,1985-06-20,6847,JEG,with brood of 10 young (class Ib),,
1337-44751,"1984-06-26, 0715",signal coming from E of house ,"MRM,JEG",unknown ,"""bird not seen""",
1337-44751,"1984-06-26, 0740","4th slough 1/2 mi N of area, E side of grid road\","MRM, HEG",alone,"""bird flushed, flew S 1/2 mi to another slough along road""",
1337-44751,"1984-06-26, 1330",off area- same general area as above,"MRM,JEG",unknown ,"""bird not seen""",
1337-44751,"1984-06-26, 1850",signal coming from East of house ,JEG,unknown ,"""bird not seen""",
1337-44751,"1984-06-27, 0530","N of house, along grid road",JEG,unknown ,"""bird not seen""",
1337-44751,"1984-06-27, 1200",same as 26 June 0740 observation,JEG,alone,"""her nest is destroyed""",
1337-44751,"1984-06-27, 2020","N of house, along grid road",JEG,unknown ,"""bird not seen""",
1337-44751,"1984-06-28, 0530",same as above,JEG,unknown ,"""bird not seen""",
1337-44751,"1984-06-28, 0930",slough 1/2 mi N of area on E side ,JTJ,alone,"""flushed, flew onto study area, vicinity of her nest site""",
1337-44751,1984-06-29,slough 1km N of area E side of grid road,JMS,unknown ,"""bird not seen""",
1337-44751,"1984-07-03, 0730","N of house, off area","MRM, JEG",unknown ,"""bird not seen""",
1337-44751,"1984-07-04, 0915",1km N of house along grid road,JMS,NA,NA,
1337-44751,1984-07-05,"N of house, off area",JEG,unknown ,"""bird not seen""",
1337-44751,1984-07-09,slough 1km N of house ,JMS,alone,"""bird flushed by observer""",
1337-44751,1984-07-10,same as above,JEG,unknown ,"""bird not seen""",
1337-44751,1984-07-12,1 1/4 mi NW of house,JMS,NA,NA,
1337-44751,1984-07-17,on slough off NW corner of area ,JMS,NA,NA,
1337-44751,1984-07-19,on slough 1 mi N and 1 mi W of area,"JMS,JEG",NA,"""bird not seen""",
1337-44751,1984-07-23,1 1/4 mi NW of house,JMS,NA,NA,
1337-44751,1984-07-26,2 mi WNW of house,JMS,NA,NA,
1337-44751,1984-07-31,1 1/2 mi NW of house,JMS,NA,NA,
1337-44752,NA,NA,NA,NA,"""THIS BIRD HATCHED FROM NEST #2. THE ADULT FEMALE OF NEST #2 IS BLUE TRI-BLUE TRI""",
1337-44752,1984-07-24,p65,"JMS,MRM,JEG,JTJ",caught by dogs while drive trapping ,NA,
1337-44752,1984-08-02,P50,JMS,with blue tri-blue tri and blue y-orange y,NA,
1337-44755,NA,NA,NA,NA,"""THIS BIRD HATCHED FROM NEST #2. THE ADULT FEMALE OF NEST #2 IS BLUE TRI-BLUE TRI""",
1337-44755,1984-08-02,p50,JMS,with blue tri-blue tri and orange y-white y,NA,
1337-44755,1984-09-24,p65,MRM,(with unmarked female),NA,
1337-44755,1984-10-02,p50,MRM,(with unmarked female),NA,
1337-44755,1995-10-21,NA,NA,NA,"""Tinley Park, Illinois (shot) 11 yrs old"", ""stainless steel pin and a small ball of orange plastic on the right side and an unidentifiable colour was on the left side!"", ""letter returned by hunter who shot bird reported this!""",
1337-44760,NA,NA,NA,NA,"""BIRD RELASED ON POND #1 AFTER BANDING""",
1337-44760,1984-07-26,p125,JEG,with blue y-white y,NA,
1337-44761,NA,NA,NA,NA,"""BIRD RELASED ON POND #1 AFTER BANDING""",
1337-44761,1984-07-24,p1,"MRM,JEG,JMS,JTJ",caught by dogs while drive trapping ,NA,
1337-44761,1984-08-01,p1,JEG,feeding with 1 unmarked mallard ,NA,
1337-44761,1984-08-08,p125,MRM ,"with 3 males and 3 females (all marked) (blue y-white y, white y-blue y, white y-white y) banded pd #6753 banded pd#6753 banded pd #1",NA,
1337-44761,1984-08-09,p125,JEG,"feeding with 9 other yng (3 marked) (blue tri-orange disc, blue y-white y, white y- blue y) banded pd 125",NA,
1337-44761,1984-08-14,p125,MRM,NA,NA,
1337-44761,1984-08-16,p125,JEG,NA,NA,
1337-44761,1984-09-06,p65,MRM,"(w/ 2 unmarked females and 1 male yng?""",NA,
1337-44761,1984-09-14,p65,MRM,(w/ 1 unmarked female),,
1337-44762,NA,NA,NA,NA,"""BIRD RELEASED ON POND #1 AFTER TAGGING""",
1337-44762,1984-07-26,P125,JEG,with white y-orange y,NA,
1337-44762,1984-08-01,p125,JEG,NA,NA,
1337-44762,1984-08-02,p1,JEG,NA,NA,
1337-44762,1984-08-08,p125,MRM,"with 3 males and 3 females (all marked) (white y- blue y, white y-white y, blue y-blue y) banded pd #6753, banded pd#1 banded pd #6753",NA,
1337-44762,1984-08-09,p125,JEG,"with 9 other yng (3 marked) (blue tri-orange disc, white y-blue y, blue y-blue y",NA,
1337-44762,1984-08-14,p125,MRM,NA,NA,
1337-44762,1984-09-06,p25,MRM,(w/ unmarked yng female),NA,
1337-44762,1984-09-14,p25,MRM,(w/ unmarked female),NA,
1337-44763,NA,NA,NA,NA,"""BIRD RELEASED ON POND #1 AFTER TAGGING""",
1337-44763,1984-07-24,p1,"JTJ,JMS,MRM,JEG",caught by dogs while drive trapping ,NA,
1337-44763,1984-08-01,p1,JEG,alone,loafing in shore veg.,
