band_num,date_resighted,location,observer,status,comments
865-18536,1986-06-18,n98,RGC,NA,"""web tagged (A301)"""
865-18536,1986-08-20,p79E (bait trap),"AMT, JBI",hy,"""banded, nasal tagged (wt=390g)"""
865-18536,1986-08-23,p79E,RGC,bait trapped (wt=385g),NA
865-18581,NA,NA,NA,NA,NA
865-18589,NA,NA,NA,NA,NA
865-18594,NA,NA,NA,NA,NA
865-18596,NA,NA,NA,NA,NA
865-18661+GCB,1986-07-18,n27,RGC,NA,"""web tagged in nest (A0996)"""
865-18661+GCB,1986-08-28,p79E,RGC,NA,"""bait trapped and banded, nasal tagged (wt=445g)"""
865-18763+GCB,1986-07-18,p1,RGC,drive trapped,"""web tagged (A0840) class III (wt=205g) and green colour band"""
865-18763+GCB,1986-08-22,p1,RGC,bait traapped,"""nasal tagged (wt=335g)"""
865-18763+GCB,1986-08-25,p1,RGC,bait trapped,"""(wt=345g)"""
865-18763+GCB,1988-05-13,p1E,MG,NA,NA
865-18763+GCB,1988-05-16,p1E,MG,paired,NA
865-18665+GCB,1986-07-18,p1,RGC,drive trapped,"""class IIb (wt=190g), web tagged (A0839)"""
865-18665+GCB,1986-08-30,p79E,RGC,bait trapped,"""banded, nasal tagged (wt=380g)"""
865-18665+GCB,1986-10-01,p25,"GCG, RGC",alone,"""feeding"""
775-74198,1987-07-08,n140,RGC,nesting asy female,"""recaptured at nest #140 west of pond 90b (wt=350g) wing: 180mm, nest hatched successfully, 15 july 1987 nasal tagged at nest"""
865-18668+Gband,1987-06-18,n75,RGC,nesting asy female,"""recaptured at nest south of pond 65 (S) (wt=325g), wing:182mm, nest hatched successfully, 28 june 1987 nasal tagged at nest"""
865-18668+Gband,1988-05-30,p67,RGC,paired,NA
865-18668+Gband,1988-06-01,p67,MG,paired,NA
865-18668+Gband,1988-06-10,p65S,MG,paired,NA
865-18668+Gband,1988-06-15,p65,MG,paired,NA
865-18668+Gband,1988-06-16,p65,KDW,NA,NA
865-18675+RB,1987-07-27,p50,AMW,alone,NA
865-18675+RB,1987-07-29,p50,AMW,alone,NA
865-18675+RB,1987-06-24,p125S,RGC,male with 9 Ic's,NA
865-18678+RB,1987-07-29,p25,AMW,alone,NA
865-18678+RB,1988-05-15,p1E(s.end),RGC,paired,NA
865-18678+RB,1988-05-26,p1E,GWB,alone,NA
865-18678+RB,1988-05-30,p1E,MG,paired,NA
865-18678+RB,1988-06-21,p1E(s.end),RGC,NA,"""with IIa's"
865-18678+RB,1988-06-23,p1E,DJS,NA,"""with 9"""
865-18678+RB,1988-06-23,p1 ,MG,NA,"""with 11 IIa's"""
865-18678+RB,1988-06-25,p1W(s.end),RGC,NA,"""with 10 Ia's"
865-18678+RB,1988-06-30,p1E(s.end),RGC,NA,"""with 10 Ia's"
865-18678+RB,1988-06-30,p1E,GCG,NA,NA
865-18678+RB,1988-07-02,p1,MG,NA,"""with 10 IIa's"""
865-18678+RB,1988-07-05,p1,MG,NA,"""with 7 IIa's"""
865-18678+RB,1988-07-09,p1,RGC,NA,"""with 10"""
865-18678+RB,1988-07-09,p20,RGC,NA,"""red bonded"""
865-18678+RB,1988-07-10,p1W,RGC,NA,"""with 10 IIa's"""
865-18678+RB,1988-07-14,p1E,DJS,NA,"""with 10 IIb's"""
865-18678+RB,1988-07-14,p1,RGC,NA,"""with 9 IIa-b + 1 Ic-IIa"""
865-18678+RB,1988-07-18,p1,RGC,NA,"""with 7 IIa's"""
865-18678+RB,1988-07-21,p1E,DJS,NA,"""with 8 IIb's"""
865-18678+RB,1988-07-29,p1E,NA,NA,"""drive trap 375g 187mm"""
865-18678+RB,1988-08-04,p1,BP,NA,NA
865-18679+RB,1987-07-30,p50,AMW,alone,NA
865-18679+RB,1986-07-11,p1W,DJS,NA,"""with 7 Ia's(?)"""
865-18680+RB,1987-07-29,p67,AMW,alone,"""in loose association with group of ~10 nestling (likely) teals"""
865-18684+RB,1987-07-30,p50,AMW,alone,NA
865-18684+RB,1987-05-13,p50,RGC,NA,NA
865-18686+RB,NA,NA,NA,NA,NA
865-18689+RB,NA,NA,NA,NA,NA
865-18690+RB,NA,NA,NA,NA,"""incubation behaviour of females was monitored by M.Gloutney. Another weight of female was taken when eggs pipped 1987-07-20"""
865-18690+RB,1987-08-04,79E,AMW,alone,"""acting broody-calling brood likely in reeds. Shot 1988-12-26, Beer Island, Louisiana"""
865-18691+RB,NA,NA,NA,NA,"""incubation behaviour of females was monitored by M.Gloutney until nest was destroyed (mammal) on 1987-07-14"""
865-18700+RB,NA,NA,NA,NA,"""web tag hole likely in onter web, left foot, not moulting, possibly with a captured brood (ducklings)"""
865-18700+RB,1988-07-11,p1W,DJS,NA,"""with 10 Ic's (questionable)"""
865-18805+RB,NA,NA,NA,NA,NA
865-18833+RB,1987-07-29,p50,AMW,in group and molting BTW ~10,NA
865-18834+RB,1987-07-24,p50,AMW,with 9 Ia,NA
865-18834+RB,1987-07-27,p50,AMW,with 9 Ia,NA
865-18834+RB,1987-07-20,p50,AMW,with 9 Ia,NA
865-18878,1988-07-08,n115,NA,sy female,"""nasal tagged caught in spring trap"""
865-18878,1988-07-08,n115,NA,NA,"""nest hatched"""
865-18878,1988-07-09,n115,NA,NA,"""spring trap capture"""
865-18878,1988-07-10,p1E,RGC,NA,with 7 Ia's
865-18878,1988-07-18,p125S,RGC,alone,"""blue CB flased and flew to p1"""
865-18935,1988-06-08,n87,"MG, KDW",NA,"""nest 87 hatched june 25"""
865-18935,1988-06-15,n87,MG,NA,"""nasal-tagged 325g; 80mm hoopnet"""
865-18935,1988-06-25,n115,MG,NA,"""recap spring trap, 350g; wing 180mm"""
865-18935,1988-07-11,p90B,RGC,NA,NA
865-18935,1988-07-11,p90B,RGC,paired,NA
865-18935,1988-07-12,p50,KDW,NA,NA
865-18940,NA,NA,NA,NA,NA
865-18942,1988-06-16,p25,RGC,alone,NA
865-18942,1988-06-23,p26,RGC,alone,NA
865-18942,1988-06-28,n92,RGC,NA,"""n92 hatched"""
865-18942,1988-06-30,n92,RGC,NA,NA
865-18943,1988-06-23,n38,NA,NA,"""nest hatched june 25"""
865-18943,1988-07-18,p50,RGC,NA,"""no brood (some of her brood were recaptured later here)"""
865-18944,1988-06-21,n39,GCG,NA,"""nest hatched 24 june 88"""
865-18944,1988-07-10,p65,RGC,NA,"""with 8 IIb-c's"""
865-18944,1988-07-11,p50,KDW,NA,"""white CB"""
865-18944,1988-07-11,p65,RGC,NA,"""with 8 Ib"""
865-18944,1988-07-20,p65,NA,NA,"""drive trap 290g, premolt"""
865-18944,1988-06-21,p1E,DJS,NA,NA
755-49218,1988-06-06,n27,MG,NA,"""nest hatched 22 june"""
755-49218,1988-06-21,n27,NA,NA,"""caught and nasal tagged, banded"""
755-49218,1988-06-08,p65,NA,NA,"""drive trap 315g"""
755-49218,1988-07-10,p65,RGC,NA,"""with 4"""
755-49218,1988-07-11,p65,RGC,NA,"""with 5 Ic"""
755-49218,1988-07-21,p65,RGC,NA,"""with 13 Ib's grouped (>/brood?)"
755-49219,1988-06-30,p20,RGC,NA,"""with2 Ia's"""
755-49220,1988-07-11,p20,RGC,alone,NA
755-49220,1988-07-16,p20,NA,NA,NA
755-49220,1988-07-21,p20,RGC,NA,NA
755-49220,1988-07-28,p20,NA,NA,NA
755-49220,1988-08-04,New House ,RGC,NA,"""with other (adult) blue wings"""
755-49230,1988-07-28,p20,RGC,NA,NA
755-49230,1988-08-04,p20,RGC,NA,NA
755-49230,1988-08-11,p20,RGC,NA,NA
755-49285,1988-08-11,p1W,BP,NA,NA
755-49287,1988-08-04,p1E,BP,NA,NA
755-49297,1988-08-11,p25,BP,NA,NA
755-49288,1988-08-11,p1W,BP,NA,NA
755-49288,1989-07-01,p1,RGC,NA,NA
755-49288,1989-07-03,p1,RGC,NA,NA
755-49288,1989-07-09,p1,RGC,NA,"""with 10 Ia's"""
755-49294,1988-07-20,p25,NA,Ib,"""web tagged Ib (wt=70g) cus#35"""
755-49294,1988-08-08,p25,NA,III,"""banded and nasal tagged, caught in drive trap"""
755-49296,1988-08-11,p25,BP,NA,NA
755-49308,1988-08-11,p20,RGC,NA,NA
755-49377,1989-08-07,p1,KDW,NA,"""with female"""
755-49377,1989-08-10,p1,RDD,NA,NA
755-49385,1989-08-17,p1,CJF,NA,NA
755-49369,1989-08-07,p1,KDW,NA,"""with female"""
755-49369,1989-08-10,p1,RDD,NA,NA
755-49350,1989-07-13,p25,RGC,NA,"""with 8 Ia's"
755-49350,1989-07-20,p25,GCG,NA,"""with 8 Ib's"""
755-49350,1989-07-31,p25,CJF,NA,"""with 8 IIa"""
755-49350,1989-08-07,p65,KDW,NA,"""with 7 III"""
755-49348,1989-07-09,p20,RGC,NA,"""with 9 Ia's"""
755-49348,1989-07-12,p20,GCG,NA,NA
755-49348,1989-07-17,p20,KDW,NA,NA
755-49348,1989-07-20,p20,CJF,NA,NA
755-49348,1989-07-31,p1,CJF,NA,"""with 8 IIb's"""
755-49253,1989-07-20,p20,CJF,NA,"""with 9 Ia's"""
755-49253,1989-08-10,p1,RDD,NA,NA
755-49253,1990-05-20,p20,RGC,paired,NA
755-49253,1990-05-27,p20,RGC,paired,NA
755-49253,1990-05-31,p20,RGC,paired,NA
755-49253,1990-06-21,p26,RGC,paired,NA
755-49253,1990-06-21,p20,CJF,alone,NA
755-49253,1990-06-23,p26,RGC,paired,NA
755-49253,1991-05-23,p4857,BKW,paired,NA
755-49253,1991-07-08,n93,"RGC, BKW",on nest,"""captured"""
755-49386,NA,NA,NA,NA,NA
755-49371,NA,NA,NA,NA,NA
755-49496+CB,1990-07-19,p25,GCG,dead,"""found on shore - tags removed"""
755-49497,NA,NA,NA,NA,NA
755-49247,1990-07-14,n123,MG,caugth on nest with mist net 305g wing 176,NA
755-49499,1990-06-29,n81,NA,on nest caught by hand 313g,NA
855-43201,NA,NA,NA,NA,NA
855-43203,1990-07-30,p25,RDD,alone,NA
855-43203,1990-07-30,p1E,RDD,alone,NA
865-18850,NA,NA,NA,NA,NA
865-18842,1991-05-16,p25,RGC,paired,NA
865-18842,1991-05-17,p25,CJF,paired,NA
865-18842,1991-05-24,p25,RGC,paired,NA
865-18842,1991-06-06,p26,RGC,NA,NA
865-18842,1991-06-27,p25,RGC,paired,NA
885-43219+CB,NA,NA,NA,NA,NA
885-43221+CB,NA,NA,NA,NA,NA
885-43222+CB,NA,NA,NA,NA,NA
885-43223+CB,NA,NA,NA,NA,NA
