band_num,date_resighted,location,observer,status,comments,
876-04986,1988-07-28,p26,KDW,NA,NA,
876-04986,1988-07-28,p20,RGC,NA,NA,
876-04986,1988-08-04,p25,KDW,NA,NA,
876-04986,1988-08-04,p20,RGC,NA,NA,
876-04986,1989-04-26,p20,RGC,paired,NA,
876-04986,1989-04-27,p20,RGC,paired,NA,
876-04986,1989-04-29,p20,RGC,paired,NA,
876-04986,1989-05-03,p1,KDW,paired,NA,
876-04986,1989-05-04,p20,KDW,NA,NA,
876-04986,1989-05-05,p4857,RGC,paired,NA,
876-04986,1989-05-07,p4857,RGC,paired,NA,
876-04986,1989-05-08,p4857,RGC,paired,NA,
876-04986,1989-05-08,p56,RDD,paired,NA,
876-04986,1989-05-09,p4857,RDD,paired,NA,
876-04986,1989-05-12,p4857,"RGC,CJF",paired,NA,
876-04986,1989-05-13,p4857,RGC,paired,NA,
876-04986,1989-05-19,p4857,NA,paired,NA,
876-04986,1989-05-20,p6753,RGC,paired,NA,
876-04986,1989-05-23,p4857,KDW,paired,NA,
876-04986,1989-05-24,p4857,"CFJ,RDD",paired,NA,
