"","band_num","date_resighted","location","observer","status","comments","Other.notes..there.are.sometimes.handwritten.notes.such.as.the.one.in.this.binder.before.page.49","Brood.instead.of.Resightings","X","X.1","X.2","X.3"
"201","1167-44295","1984-06-21, 0700","p26 or 25","JEG","unknown ","did not see bird ",NA,NA,NA,NA,NA,NA
"202","1167-44295","1984-06-21, 1020","NW of house from slough just off area ","JEG","unknown ","bird not seen ",NA,NA,NA,NA,NA,NA
"203","1167-44295","1984-06-22","p20","JEG","unknown ","bird not seen ",NA,NA,NA,NA,NA,NA
"204","1167-44295","1984-06-25, 0730","signal picked up from house- coming from 66,67 or 65","MRM, JEG","unknown ","bird not observed ",NA,NA,NA,NA,NA,NA
"205","1167-44295","1984-06-25, 0900","slough off SE corner of area ","MRM,JEG","unknown ","bird not observed ",NA,NA,NA,NA,NA,NA
"206","1167-44295","1984-06-26","slough off SE corner of area ","MRM,JEG","alone","bird flushed by observers ",NA,NA,NA,NA,NA,NA
"207","1167-44295","1984-06-27","p90","JEG","unknown ","bird not observed ",NA,NA,NA,NA,NA,NA
"208","1167-44295","1984-06-28","p90","JEG","unknown ","bird not observed ",NA,NA,NA,NA,NA,NA
"209","1167-44295","1984-06-29","slough off NE corner of area ","JMS","unknown ","bird not observed ",NA,NA,NA,NA,NA,NA
"210","1167-44295","1984-07-03","slough off NE corner of area ","MRM,JEG","unknown ","bird not observed ",NA,NA,NA,NA,NA,NA
"211","1167-44295","1984-07-04","p90","JMS","unknown ","bird not observed ",NA,NA,NA,NA,NA,NA
"212","1167-44295","1984-07-05","slough off NE corner of area ","JEG","unknown ","bird not observed ",NA,NA,NA,NA,NA,NA
"213","1167-44295","1984-07-10","slough off SE corner of area ","JEG, JTJ","unknown ","bird not observed""",NA,NA,NA,NA,NA,NA
"214","1167-44295","1984-07-12","slough 1km E of SE corner of area ","JMS",NA,NA,NA,NA,NA,NA,NA,NA
"215","1167-44295","1984-07-17","same as above","JMS",NA,"I think they mean that this bird was also near slough 1km E of SE corner of area ",NA,NA,NA,NA,NA,NA
"216","1167-44296",NA,NA,NA,NA,"there are no data entries on this page ",NA,NA,NA,NA,NA,NA
"217","1337-44601","1985-07-22","pond #8143","TGJ,EHD,AMT,HBI",NA,"""feining when observed""",NA,NA,NA,NA,NA,NA
"218","1337-44604","1984-04-21","p86","MRM","with male ",NA,NA,NA,NA,NA,NA,NA
"219","1337-44604","1984-06-20","slough across road (South) of 90 S","JEG","with male ",NA,NA,NA,NA,NA,NA,NA
"220","1337-44610",NA,NA,NA,NA,"there are no data entries on this page ",NA,NA,NA,NA,NA,NA
"221","1337-44658","1985-05-16","p79 E","JEG,JMS","with male ","""shot: 24 November 1985, Pommdeterre Lake, Missouri w/ male 1337-44867""",NA,NA,NA,NA,NA,NA
"222","1337-44673",NA,NA,NA,NA,"there are no data entries on this page ",NA,NA,NA,NA,NA,NA
"223","1337-44685",NA,NA,NA,NA,"there are no data entries on this page ",NA,NA,NA,NA,NA,NA
"224","1337-44686","1984-06-17","#79","JTJ","alone",NA,NA,NA,NA,NA,NA,NA
"225","1337-44686","1984-06-18","#79","JEG","alone",NA,NA,NA,NA,NA,NA,NA
"226","1337-44700","1984-06-19,0700","p66","JEG","with 8 ducklings (IIb)","""n=10 yng, hatch date =25 May""",NA,NA,NA,NA,NA,NA
"227","1337-44700","1984-06-19, 2015","p65","JEG","with 8 yng",NA,NA,NA,NA,NA,NA,NA
