"","location"
"1085","Pd Southwest Labreque's"
"1086","Nest 251"
"1087","East of 5056"
"1088","Nest022 (island)"
"1089","Nest 343 (island)"
"1090","Pd 7040"
"1091","Pd 108"
"1092","140"
"1093","Northeast of 5056"
"1094","1.25NNE of study area"
"1095","Nest 319"
"1096","East of North side study area"
"1097","Northweast Pd1"
"1098","#208 island"
"1099","Pd245"
"1100","Nest 361"
"1101","nested SE of Boussiere's"
"1102","2 mi SW study area"
"1103","nested NE pd 50"
"1104","1 mi SSE of study area"
"1105","SW of pd 25 S"
"1106","1 1/4 mi SSE study area"
"1107","nested 25 m NE TRES box #91 "
"1108","nested between pd 1 and W blind"
"1109","SW pd 1"
"1110","SW arthur Denis"
"1111","nested N of pd 94"
"1112","pd 94"
"1113","350m E pd 5056"
"1114","nest 676 E pd 67"
"1115","nested 1/4 mile ESE of Boussiere's "
"1116","pd SSW 1/2 mi SWL of Boussiere's"
"1117","nested at pd 112"
"1118","1/4 mi NE of study area"
"1119","N End pd 1 Near Trail"
"1120","25"
"1121","NW side of pd 90 in bushes"
"1122","nested at SE edge of W bluff"
"1123","NE pd 1"
"1124","island nest #020"
"1125","first pd SW of Boussiere's driveway"
"1126","nest 558 island"
"1127","lge wetlland 2.5 mi NWof NWA"
"1128","pd 6317"
"1129","Near pd 131 (Nest 275)"
"1130","Isl Nest #19"
"1131","N 130 ISL"
"1132","N 219"
"1133","Shirley, Arkansas"
"1134","barn at nest #85 (island)"
"1135","pd # 1"
"1136","nest #034"
"1137","pd 128"
"1138","hatched at nest #85 (island)"
"1139","pd #1"
"1140","pd 5056"
"1141","on nest island (Nest 209)"
"1142","nested NW pd 50"
"1143","barn at nest #19 (island)"
"1144","Sping Bay, Illinois"
"1145","#79 E"
"1146","nest 227 W pd 97"
"1147","pd 90A"
"1148","Reel Feet Lake, Tennesee"
"1149","pd 118"
"1150","20"
"1151","nest #151 W pd 20 W"
"1152","pd 9338"
"1153","pd E of 90B"
"1154","pd 90 A"
"1155","N 232 ISL"
"1156","1 mi E of NE side NWA"
"1157","N 125 
13 L"
"1158","N 207"
"1159","N 163 ISL"
"1160","1st pd SE of pd 5338"
"1161","nest 015"
"1162","pd 15"
"1163","Nest 016 near quanset"
"1164","Pond 65"
"1165","Nest 405"
"1166","nest 901"
"1167","nest 014"
"1168","N 308"
"1169","N 127 ISL"
"1170","Pd 1 W"
"1171","on shore of Bay of Island"
"1172","N 059"
"1173","N 145 ISL"
"1174","NW pd 1"
"1175","SW island shore"
"1176","NW pd 109"
"1177","(7144) pd 7040"
"1178","Bayou Meto, Arkansas"
"1179","N 149 ISL"
"1180","Atchafalya Delta, NWR Louisiana "
"1181","Delta Wings Hunt Club, Arkansas"
"1182","1/4 mi S of pd 7040"
"1183","N140 ISL"
"1184","N202"
"1185","Kinistino, Sask"
"1186","S of skunk pen"
"1187","2 pd NNE of 6631"
"1188","N139 ISL"
"1189","N66"
"1190","N101 ISL"
"1191","1st PD E of Farm that is 1m N of Labreques"
"1192","bluff S of pd 50"
"1193","Lafitte, Louissianna"
"1194","greater or equal to 3 mi NE of pd 7040 "
"1195","1 pd NE of 4857 on opposite side of road"
"1196","Nest #043"
"1197","big pd SW of Andre Denis"
"1198","pd 61"
"1199","Near pd 2938"
"1200","S of pd 799 nest 403"
"1201","Nest 081"
"1202","Nest #014 '98"
"1203","S pd 5338"
"1204","pd 20"
"1205","nest 012"
"1206","Lacygne, Kansas"
