orig_location,location_found,new_location_name,gen_location
East side Pd1,TRUE,pond 1,within park
Pd7144,TRUE,pond 71,within park
N018 (w pd1),TRUE,pond 1,within park
SW end Pd1,TRUE,pond 1,within park
S end Pd66,TRUE,pond 66,within park
East Pd1,TRUE,pond 1,within park
Pd1 w,TRUE,pond 1,within park
Pd1 N tip ISL,TRUE,pond 1,within park
Pd1 N west,TRUE,pond 1,within park
Pd20,TRUE,pond 20,within park
CW side Pd1,TRUE,pond 1,within park
Pd67,TRUE,pond 67,within park
Pd1 N end,TRUE,pond 1,within park
N end in Pd1 uplands,TRUE,pond 1,within park
Pd96,TRUE,pond 96,within park
Pd125 N,TRUE,pond 125,within park
Pd125 S,TRUE,pond 125,within park
SE Pd125 S,TRUE,pond 125,within park
Pd125 S OR N,TRUE,pond 125,within park
Brood Pd125 - no sight,TRUE,pond 125,within park
Pd125 N or S,TRUE,pond 125,within park
S end Pd125,TRUE,pond 125,within park
Pd125 N (0733-0909),TRUE,pond 125,within park
E side Pd125 N,TRUE,pond 125,within park
Pd124 (visual),TRUE,pond 124,within park
Pd124,TRUE,pond 124,within park
Pd97,TRUE,pond 97,within park
NE end of Pd97,TRUE,pond 97,within park
E side Pd97,TRUE,pond 97,within park
W of  Pd25,TRUE,pond 25,within park
Pd25 vicinity,TRUE,pond 25,within park
E of pd35 22m. E of nest II 17,TRUE,pond 35,within park
E of pd35,TRUE,pond 35,within park
on nest E of pd35,TRUE,pond 35,within park
N of pd35,TRUE,pond 35,within park
NE of pd35,TRUE,pond 35,within park
pd35 alone,TRUE,pond 35,within park
NE of pd35 (ON NEST),TRUE,pond 35,within park
on SE end Pd26,TRUE,pond 26,within park
Midway between PD67+66,TRUE,pond 67,within park
SE Pd67,TRUE,pond 67,within park
SW Pd67,TRUE,pond 67,within park
S end Pd67 (possiby in uplands),TRUE,pond 67,within park
S end Pd67,TRUE,pond 67,within park
N end Pd67,TRUE,pond 67,within park
Pd67 CW side,TRUE,pond 67,within park
Pd67 SW end,TRUE,pond 67,within park
Pd67 N end,TRUE,pond 67,within park
Pd67 NE side,TRUE,pond 67,within park
Pd67 N,TRUE,pond 67,within park
Pd67 CENTER,TRUE,pond 67,within park
Pd1 N site,TRUE,pond 1,within park
S end Pd1,TRUE,pond 1,within park
SE side Pd1,TRUE,pond 1,within park
SW end of Pd1,TRUE,pond 1,within park
Pd1 S end,TRUE,pond 1,within park
Pd1 ,TRUE,pond 1,within park
Pd 90,TRUE,pond 90,within park
S end of Pd1,TRUE,pond 1,within park
Pd1 SW end,TRUE,pond 1,within park
Pd1 W end and SE side,TRUE,pond 1,within park
Pd1 NE side,TRUE,pond 1,within park
Pd6? no sight,TRUE,pond 6,within park
Pd1 central east side ,TRUE,pond 1,within park
E side Pd1,TRUE,pond 1,within park
SW side Pd1,TRUE,pond 1,within park
Pd 6631,TRUE,pond 66,within park
Pd105 watched from 1445-1615,TRUE,pond 105,within park
W Pd28,TRUE,pond 28,within park
E Pd26,TRUE,pond 26,within park
Pd26,TRUE,pond 26,within park
10 m. E swallow box 110 SW Pd 20 W,TRUE,pond 20,within park
S of Pd26 near road,TRUE,pond 26,within park
Pd25,TRUE,pond 25,within park
Pd99,TRUE,pond 99,within park
Pd98,TRUE,pond 98,within park
N of Pd128,TRUE,pond 128,within park
NE side Pd20,TRUE,pond 20,within park
Pd 70 or 71,TRUE,pond 70,within park
Pd 75,TRUE,pond 75,within park
Pd 70 duckling 1b,TRUE,pond 70,within park
W end Pd79,TRUE,pond 79,within park
Pd76,TRUE,pond 76,within park
Pd76 no sighting,TRUE,pond 76,within park
S side Pd 76,TRUE,pond 76,within park
SE side Pd 66,TRUE,pond 66,within park
N side Pd 76,TRUE,pond 76,within park
Pd76?,TRUE,pond 76,within park
Pd66,TRUE,pond 66,within park
Pd 71,TRUE,pond 71,within park
S Pd 71,TRUE,pond 71,within park
Pd71,TRUE,pond 71,within park
Morning barely heard E of Pd66 afternoon AWOL,TRUE,pond 66,within park
S of Pd 17 N#011,TRUE,pond 17,within park
NW of Pd20W ,TRUE,pond 20,within park
Southeast of Pd92,TRUE,pond 92,within park
Southeast of Pd93,TRUE,pond 9,within park
Pd 125N,TRUE,pond 125,within park
East Pd 133 Nest #239,TRUE,pond 133,within park
Pd50,TRUE,pond 50,within park
Pd 1 North,TRUE,pond 1,within park
Pd 94,TRUE,pond 94,within park
Pd 65,TRUE,pond 65,within park
Pd 67,TRUE,pond 67,within park
Pd 20,TRUE,pond 20,within park
Pd 25,TRUE,pond 25,within park
Pd 26,TRUE,pond 26,within park
Pd 35,TRUE,pond 35,within park
Pd79W,TRUE,pond 79,within park
Pd1W,TRUE,pond 1,within park
Pd 7040,TRUE,pond 70,within park
Pd 108,TRUE,pond 10,within park
Pd1E,TRUE,pond 1,within park
Northweast Pd1,TRUE,pond 1,within park
Pd245,TRUE,pond 24,within park
pd 50,TRUE,pond 50,within park
SW pd 1,TRUE,pond 1,within park
1 pd E of pd 94,TRUE,pond 94,within park
pd 94,TRUE,pond 94,within park
nest 676 E pd 67,TRUE,pond 67,within park
pd 125 S,TRUE,pond 125,within park
N End pd 1 Near Trail,TRUE,pond 1,within park
NW side of pd 90 in bushes,TRUE,pond 90,within park
NE pd 1,TRUE,pond 1,within park
Near pd 131 (Nest 275),TRUE,pond 131,within park
pd 97,TRUE,pond 97,within park
pd 128,TRUE,pond 128,within park
pd #1,TRUE,pond 1,within park
nest 227 W pd 97,TRUE,pond 97,within park
pd 90A,TRUE,pond 90,within park
pd 118,TRUE,pond 118,within park
nest #151 W pd 20 W,TRUE,pond 20,within park
pd 90 A,TRUE,pond 90,within park
pd 140,TRUE,pond 140,within park
pd 90 ,TRUE,pond 90,within park
pd 124,TRUE,pond 124,within park
Pond 65,TRUE,pond 65,within park
Pd 1 W,TRUE,pond 1,within park
NW pd 1,TRUE,pond 1,within park
NW pd 109,TRUE,pond 109,within park
bluff S of pd 50,TRUE,pond 50,within park
pd 61,TRUE,pond 61,within park
pd 20,TRUE,pond 20,within park
pd 97/98,TRUE,pond 97,within park
pd 50 ,TRUE,pond 50,within park
pd 125N,TRUE,pond 125,within park
"nest 367, pd 139",TRUE,pond 139,within park
NE of pd 67,TRUE,pond 67,within park
pd 26A,TRUE,pond 26,within park
pd 26N,TRUE,pond 26,within park
pd 90b,TRUE,pond 90,within park
pd 1 e,TRUE,pond 1,within park
Nest #013 flushed pd 1 E,TRUE,pond 1,within park
N 087 E of pd 14,TRUE,pond 14,within park
N of pd 14,TRUE,pond 14,within park
N pd 1,TRUE,pond 1,within park
N 059 NE of pd 3,TRUE,pond 3,within park
p 66,TRUE,pond 66,within park
N 085 SE of pd 14,TRUE,pond 14,within park
N 041 N of pd 140,TRUE,pond 140,within park
N 057 E of pd 14,TRUE,pond 14,within park
NE pd 29 in field,TRUE,pond 29,within park
pd 71,TRUE,pond 71,within park
SE pd 1,TRUE,pond 1,within park
pd 1 SSE,TRUE,pond 1,within park
N 073 N of pd 1,TRUE,pond 1,within park
S end pd 1,TRUE,pond 1,within park
pd 90 B,TRUE,pond 90,within park
In field E of pond 90,TRUE,pond 90,within park
pd 37,TRUE,pond 37,within park
pd 6,TRUE,pond 6,within park
pd 20 W,TRUE,pond 20,within park
N edge of pd 66,TRUE,pond 66,within park
pd 5618,TRUE,pond 56,within park
N347 pd 2,TRUE,pond 2,within park
N 041 flushed to pd 1 ,TRUE,pond 1,within park
in field b/w pd 26 and 67,TRUE,pond 26,within park
in crop west of pd 67,TRUE,pond 67,within park
SE of pd 109,TRUE,pond 109,within park
pd 80,TRUE,pond 80,within park
pd 4336,TRUE,pond 4,within park
E ISLAND PD1,TRUE,pond 1,within park
E PD 1 ,TRUE,pond 1,within park
PD 1,TRUE,pond 1,within park
NEPD1,TRUE,pond 1,within park
Pd 1 ,TRUE,pond 1,within park
Pd 1,TRUE,pond 1,within park
Pd 79E,TRUE,pond 79,within park
Pd 15,TRUE,pond 15,within park
Pd 97,TRUE,pond 97,within park
Pd5338,TRUE,pond 5,within park
NWPd1,TRUE,pond 1,within park
Pd90B,TRUE,pond 90,within park
Pd90A,TRUE,pond 90,within park
PD80,TRUE,pond 80,within park
SWEPd63,TRUE,pond 63,within park
Pd65,TRUE,pond 65,within park
Pd70,TRUE,pond 70,within park
pd125N,TRUE,pond 125,within park
Pd80,TRUE,pond 80,within park
Pd3558,TRUE,pond 35,within park
Pd1SE,TRUE,pond 1,within park
Pd 7GE,TRUE,pond 7,within park
Pd 1W,TRUE,pond 1,within park
Pd140,TRUE,pond 140,within park
Pd56,TRUE,pond 56,within park
Pd15,TRUE,pond 15,within park
Pd53,TRUE,pond 5,within park
Pd1; n248,TRUE,pond 1,within park
Pd15E,TRUE,pond 15,within park
Pd1w,TRUE,pond 1,within park
Pd1N,TRUE,pond 1,within park
Pd1SW,TRUE,pond 1,within park
Pd11,TRUE,pond 11,within park
Pd1Nend,TRUE,pond 1,within park
SendPd1,TRUE,pond 1,within park
Pd19E,TRUE,pond 19,within park
Pd79E,TRUE,pond 79,within park
Pd79,TRUE,pond 79,within park
SEPd1,TRUE,pond 1,within park
SWPd1,TRUE,pond 1,within park
Pd1S,TRUE,pond 1,within park
Pd125s,TRUE,pond 125,within park
Pd5,TRUE,pond 5,within park
Pd1 n11,TRUE,pond 1,within park
Pd78E,TRUE,pond 78,within park
Pd79B,TRUE,pond 79,within park
Pd125,TRUE,pond 125,within park
Pd65S,TRUE,pond 65,within park
Pd6,TRUE,pond 6,within park
S of Pd90B,TRUE,pond 90,within park
"nS-3, NE Pd90",TRUE,pond 90,within park
Pond 1,TRUE,pond 1,within park
Pond 90B,TRUE,pond 90,within park
Pond 90A,TRUE,pond 90,within park
Pd 90B,TRUE,pond 90,within park
Pd1 SE,TRUE,pond 1,within park
P125N,TRUE,pond 125,within park
Pd1SE end,TRUE,pond 1,within park
Pd1SW end,TRUE,pond 1,within park
P1SE,TRUE,pond 1,within park
Pd1NE,TRUE,pond 1,within park
Pd7W,TRUE,pond 7,within park
Pd1255,TRUE,pond 125,within park
Pd125N,TRUE,pond 125,within park
Pd1NW,TRUE,pond 1,within park
"Pd84, n239",TRUE,pond 84,within park
Pd20W,TRUE,pond 20,within park
Pd35,TRUE,pond 35,within park
Pd125c,TRUE,pond 125,within park
Pd125S,TRUE,pond 125,within park
p1 W,TRUE,pond 1,within park
p15,TRUE,pond 15,within park
p1 E,TRUE,pond 1,within park
p1 (disco),TRUE,pond 1,within park
NE of pd 20,TRUE,pond 20,within park
p69,TRUE,pond 69,within park
p65 N,TRUE,pond 65,within park
p90 B,TRUE,pond 90,within park
p1 E (south),TRUE,pond 1,within park
pd125 N,TRUE,pond 125,within park
p125 N,TRUE,pond 125,within park
p1 N,TRUE,pond 1,within park
p1 ,TRUE,pond 1,within park
p56,TRUE,pond 56,within park
p16 N,TRUE,pond 16,within park
p61,TRUE,pond 61,within park
p78 S,TRUE,pond 78,within park
p25 W,TRUE,pond 25,within park
p80,TRUE,pond 80,within park
p65 W middle,TRUE,pond 65,within park
p1 W side,TRUE,pond 1,within park
p1 SW,TRUE,pond 1,within park
p1857,TRUE,pond 18,within park
p90 B S,TRUE,pond 90,within park
p35,TRUE,pond 35,within park
p1 NE,TRUE,pond 1,within park
p1 NW,TRUE,pond 1,within park
p1 SE,TRUE,pond 1,within park
p1 E side,TRUE,pond 1,within park
p1 SE side,TRUE,pond 1,within park
pd79,TRUE,pond 79,within park
S end of p1 W + on stable NE p5,TRUE,pond 5,within park
NW p29 n190,TRUE,pond 29,within park
send p1 in stuble between p4&5,TRUE,pond 4,within park
p20 N end,TRUE,pond 20,within park
P65,TRUE,pond 65,within park
p67 ,TRUE,pond 67,within park
n524 (p14 E),TRUE,pond 14,within park
p1 W ,TRUE,pond 1,within park
p1 S,TRUE,pond 1,within park
p90 ,TRUE,pond 90,within park
p79,TRUE,pond 79,within park
p78,TRUE,pond 78,within park
p 90 A,TRUE,pond 90,within park
p 90 B,TRUE,pond 90,within park
p79 E end,TRUE,pond 79,within park
p1 N end,TRUE,pond 1,within park
p25 N,TRUE,pond 25,within park
p 1 N,TRUE,pond 1,within park
p 1 ,TRUE,pond 1,within park
p58,TRUE,pond 58,within park
P90 B,TRUE,pond 90,within park
P90 A,TRUE,pond 90,within park
P90 S,TRUE,pond 90,within park
p130 N,TRUE,pond 130,within park
p79 ,TRUE,pond 79,within park
p1 E of pd 94,TRUE,pond 94,within park
p1 w ,TRUE,pond 1,within park
p35 S SWend native,TRUE,pond 35,within park
p1 S end,TRUE,pond 1,within park
p5634,TRUE,pond 56,within park
p1 A,TRUE,pond 1,within park
p113 NE,TRUE,pond 113,within park
S of pd 5338,TRUE,pond 5,within park
50m NW of pd 38,TRUE,pond 38,within park
pd 79E ,TRUE,pond 79,within park
N of pd 5056,TRUE,pond 50,within park
pd 79 E ,TRUE,pond 79,within park
SW end pd 90 ,TRUE,pond 90,within park
pd 90B,TRUE,pond 90,within park
pd 90 B ,TRUE,pond 90,within park
nest 662 SE of pd 92 ,TRUE,pond 92,within park
pd 1W ,TRUE,pond 1,within park
1st pd NE of pd 4717,TRUE,pond 4,within park
pd 66 ,TRUE,pond 66,within park
nest 506 N of pd 90,TRUE,pond 90,within park
Nest S pd 50,TRUE,pond 50,within park
pd 70,TRUE,pond 70,within park
pd 26 ,TRUE,pond 26,within park
pd 27,TRUE,pond 27,within park
pd 76,TRUE,pond 76,within park
pd 79 W,TRUE,pond 79,within park
PD 65,TRUE,pond 65,within park
E of pd 94,TRUE,pond 94,within park
? pd 25,TRUE,pond 25,within park
pd 66 (s),TRUE,pond 66,within park
pd 79,TRUE,pond 79,within park
"In field N of pd 28, E end of pd 29",TRUE,pond 29,within park
"N of pd 3, N229",TRUE,pond 3,within park
pd 1 NE,TRUE,pond 1,within park
nest 642 N pd 139,TRUE,pond 139,within park
Pd 50,TRUE,pond 50,within park
nest 598 N pd 24 S,TRUE,pond 24,within park
pd 1 NE End,TRUE,pond 1,within park
pd 1 fr. South,TRUE,pond 1,within park
SW pd 137 N1,TRUE,pond 137,within park
pd 12,TRUE,pond 12,within park
nest 399 E pd 90,TRUE,pond 90,within park
Pd 1 SW,TRUE,pond 1,within park
pd 20 S,TRUE,pond 20,within park
nest 461 S pd 33,TRUE,pond 33,within park
pd 25 N,TRUE,pond 25,within park
nest 568 w pd 28,TRUE,pond 28,within park
pd 26 A,TRUE,pond 26,within park
n191 @ pd 90,TRUE,pond 90,within park
pd 125,TRUE,pond 125,within park
N152 @ pd 128,TRUE,pond 128,within park
crop edge W of p 90,TRUE,pond 90,within park
pd 26 N,TRUE,pond 26,within park
In crop by pd 20,TRUE,pond 20,within park
flush from nest # 105 to pd 26,TRUE,pond 26,within park
pd 5,TRUE,pond 5,within park
SW Pd 1,TRUE,pond 1,within park
n 191@ pd 50,TRUE,pond 50,within park
pd 19,TRUE,pond 19,within park
pd 67 ,TRUE,pond 67,within park
p1E,TRUE,pond 1,within park
p60,TRUE,pond 60,within park
p7,TRUE,pond 7,within park
p45,TRUE,pond 45,within park
p125S,TRUE,pond 125,within park
p79E,TRUE,pond 79,within park
p22,TRUE,pond 2,within park
p79E (bait trap),TRUE,pond 79,within park
p65S,TRUE,pond 65,within park
p1E(s.end),TRUE,pond 1,within park
p1W(s.end),TRUE,pond 1,within park
p1W,TRUE,pond 1,within park
p90B,TRUE,pond 90,within park
"stubble field #50, #60",FALSE,unknown,NA
n11,FALSE,unknown,NA
R.O.W near #67,FALSE,unknown,NA
n1 ,FALSE,unknown,NA
#1,FALSE,unknown,NA
#27,FALSE,unknown,NA
stubble field S of house,FALSE,unknown,NA
n36,FALSE,unknown,NA
see comments ,FALSE,unknown,NA
NE of #29,FALSE,unknown,NA
SE lobe of #66,FALSE,unknown,NA
?,FALSE,unknown,NA
old foundation near house,FALSE,unknown,NA
n17 (hatched),FALSE,unknown,NA
#50,FALSE,unknown,NA
3rd pond S of xroads,FALSE,unknown,NA
pond S of xroads,FALSE,unknown,NA
#2,FALSE,unknown,NA
n8 (8 eggs)(nest trapped),FALSE,unknown,NA
n8,FALSE,unknown,NA
n148,FALSE,unknown,NA
#125,FALSE,unknown,NA
Nest #54 S of 40,FALSE,unknown,NA
slough off SE corner of area ,FALSE,unknown,NA
slough off NE corner of area ,FALSE,unknown,NA
slough 1km E of SE corner of area ,FALSE,unknown,NA
same as above,FALSE,unknown,NA
slough across road (South) of 90 S,FALSE,unknown,NA
#79,FALSE,unknown,NA
n21 NW hayfield,FALSE,unknown,NA
slough partially in NW corner of area,FALSE,unknown,NA
n50 (10 eggs),FALSE,unknown,NA
hayfield W of 79,FALSE,unknown,NA
"large slough 1km S, .75 km W of main grid road undersection at South end of area ",FALSE,unknown,NA
flew from #1 to #125,FALSE,unknown,NA
6847,FALSE,unknown,NA
slough 1km N of area E side of grid road,FALSE,unknown,NA
"N of house, off area",FALSE,unknown,NA
slough 1km N of house ,FALSE,unknown,NA
1 1/4 mi NW of house,FALSE,unknown,NA
on slough off NW corner of area ,FALSE,unknown,NA
on slough 1 mi N and 1 mi W of area,FALSE,unknown,NA
2 mi WNW of house,FALSE,unknown,NA
1 1/2 mi NW of house,FALSE,unknown,NA
"midpoint of North fence, East block",FALSE,unknown,NA
S of 79 (across road),FALSE,unknown,NA
on road South of NWA to (main grid) St Denis +/- 200m,FALSE,unknown,NA
n52,FALSE,unknown,NA
n4,FALSE,unknown,NA
Temp pond =50 m E of main grid about 200 m S of SW corner of East block,FALSE,unknown,NA
n93,FALSE,unknown,NA
n86,FALSE,unknown,NA
n12,FALSE,unknown,NA
1 W,FALSE,unknown,NA
125N,FALSE,unknown,NA
South of 60 at gate to West block (pond at gate),FALSE,unknown,NA
n67,FALSE,unknown,NA
Nest #101 (abandoned),FALSE,unknown,NA
n66,FALSE,unknown,NA
n124,FALSE,unknown,NA
n146,FALSE,unknown,NA
n49,FALSE,unknown,NA
n158,FALSE,unknown,NA
125n,FALSE,unknown,NA
field west of 125n,FALSE,unknown,NA
pond ,FALSE,unknown,NA
n85,FALSE,unknown,NA
n72 (successful),FALSE,unknown,NA
n72,FALSE,unknown,NA
n112,FALSE,unknown,NA
pd. 6753,FALSE,unknown,NA
on nest ,FALSE,unknown,NA
n24,FALSE,unknown,NA
WEST 8 (hatch),FALSE,unknown,NA
on nest 071 (destroyed),FALSE,unknown,NA
295,FALSE,unknown,NA
S of 79 E,FALSE,unknown,NA
pd-79E,FALSE,unknown,NA
n26,FALSE,unknown,NA
n50,FALSE,unknown,NA
n26 (9 egg clutch),FALSE,unknown,NA
n50 (started with 8 egg clutch),FALSE,unknown,NA
n23,FALSE,unknown,NA
field S of driveway,FALSE,unknown,NA
n99,FALSE,unknown,NA
nest 070,FALSE,unknown,NA
nest 006,FALSE,unknown,NA
nest #100,FALSE,unknown,NA
n25,FALSE,unknown,NA
n15,FALSE,unknown,NA
nest 045,FALSE,unknown,NA
n44,FALSE,unknown,NA
n81,FALSE,unknown,NA
nest 021,FALSE,unknown,NA
island,FALSE,unknown,NA
n55 (H),FALSE,unknown,NA
nest 008,FALSE,unknown,NA
nest 21 (ISL),FALSE,unknown,NA
Nest 019,FALSE,unknown,NA
Nest 009,FALSE,unknown,NA
nest 009,FALSE,unknown,NA
nest 009 ,FALSE,unknown,NA
Nest 8,FALSE,unknown,NA
nest #1,FALSE,unknown,NA
nest 16 ,FALSE,unknown,NA
nest #4,FALSE,unknown,NA
"Trenton, Kentucky",FALSE,unknown,NA
nest #6 ,FALSE,unknown,NA
on nest (NW of quanset) *see attached brood OBS. form,FALSE,unknown,NA
"Leshara, Nebraska",FALSE,unknown,NA
nest 184,FALSE,unknown,NA
on nest 75,FALSE,unknown,NA
nest 76,FALSE,unknown,NA
nest 132,FALSE,unknown,NA
nest 007,FALSE,unknown,NA
nest 2  (island),FALSE,unknown,NA
nest 7,FALSE,unknown,NA
nest 203,FALSE,unknown,NA
NATAL Nest #6 ,FALSE,unknown,NA
nest 010,FALSE,unknown,NA
nest 010 ,FALSE,unknown,NA
nest 001,FALSE,unknown,NA
nest 79,FALSE,unknown,NA
n015,FALSE,unknown,NA
1/4 mi S of Nwa,FALSE,unknown,NA
??,FALSE,unknown,NA
1/2 mi. SE of Main Road,FALSE,unknown,NA
Awol SL,FALSE,unknown,NA
S of 5338 SL,FALSE,unknown,NA
S of 5338 SL ON E side of Pd SL,FALSE,unknown,NA
Awol,FALSE,unknown,NA
NE of Labreques (S of 5338) SL,FALSE,unknown,NA
"S of 5335 JF, MD",FALSE,unknown,NA
Near 2940 freq SL,FALSE,unknown,NA
Same pond as 2940 SL,FALSE,unknown,NA
NE of Lebreques  Acting Broody SL,FALSE,unknown,NA
n460,FALSE,unknown,NA
N/A,FALSE,unknown,NA
N078,FALSE,unknown,NA
N9,FALSE,unknown,NA
AWAL,FALSE,unknown,NA
Island,FALSE,unknown,NA
N of NWA,FALSE,unknown,NA
CE of Island,FALSE,unknown,NA
